,Numero_linea_1,Catalogo_1,Clasificacion,Identificacion,Año,Dia,Fraccion_dia,Signo_derivada_1,Derivada_1,Signo_derivada_2,Derivada_2,Exponente,Signo_BSTAR,BSTAR,Exponente_BSTAR,Efemerides,Numero_elemento,Checksum_1,Numero_linea_2,Catalogo_2,Inclinacion,Ascencion,Excentricidad,Perigeo,Anomalia_media,Revoluciones_dia,Revoluciones_epoch,Checksum_2,Periodo,Semieje_mayor,Semieje_menor
0,1,00900,U,64063C,23,333,.78605279, ,.00001346, ,00000,+0, ,14065,-2,0, 999,7,2,00900,90.1984,51.1908,0.0025821,220.9212,267.767,13.74640062,94349.0,9,6285.2816812493,7361.0986892614,7361.0741501132
1,1,00902,U,64063E,23,333,.60246435, ,.00000102, ,00000,+0, ,13982,-3,0, 999,2,2,00902,90.2145,54.6513,0.0019931,52.9956,104.0788,13.52772715,73044.0,3,6386.8822191613,7440.213786112,7440.1889832237
2,1,01361,U,65034C,23,333,.15398587, ,.00000037, ,00000,+0, ,37005,-2,0, 999,5,2,01361,32.1384,227.6205,0.0005121,348.8212,11.2171,9.8930426,11768.0,2,8733.4102857295,9166.0464122446,9166.0158560761
3,1,01512,U,65065E,23,333,.66736076, ,.00000109, ,00000,+0, ,20092,-3,0, 999,1,2,01512,89.9456,215.0342,0.0069425,343.1093,70.1442,13.33496455,83603.0,9,6479.2073256768,7511.7431176782,7511.7180763378
4,1,01520,U,65065H,23,334,.68675259, ,.00000207, ,00000,+0, ,38161,-3,0, 999,3,2,01520,89.9569,128.9651,0.006852,204.6373,287.508,13.36012357,83899.0,2,6467.0060532981,7502.3096989277,7502.2846890348
5,1,02826,U,67053A,23,333,.82605088, ,.00011879, ,00000,+0, ,27052,-2,0, 999,3,2,02826,69.9257,120.3678,0.0007548,308.5312,51.5147,14.56009667,93026.0,8,5934.0265355532,7084.2269502053,7084.2033340438
6,1,02866,U,67066E,23,334,.74552112,-,.00000049, ,00000,+0, ,00000,+0,0, 999,1,2,02866,0.8091,165.5415,0.0056284,124.5583,21.2295,1.09425064,12085.0,0,78958.1443607837,39779.327052693,39779.1944433036
7,1,02872,U,67053F,23,334,.79797551, ,.00000249, ,00000,+0, ,20861,-3,0, 999,9,2,02872,69.9736,201.3936,0.0009518,255.4972,104.5079,13.99111372,88060.0,7,6175.348276706,7275.0131115722,7274.9888594011
8,1,02874,U,67053H,23,334,.11870740, ,.00000141, ,00000,+0, ,14031,-3,0, 999,2,2,02874,69.9736,308.3949,0.0009647,308.7943,51.23,13.96528536,87739.0,2,6186.7693908691,7283.9802889054,7283.9560068411
9,1,02909,U,67053J,23,334,.42944439, ,.00021658, ,00000,+0, ,32974,-2,0, 999,3,2,02909,69.9444,78.9527,0.0005872,323.1716,36.9026,14.73906428,94203.0,9,5861.973213404,7026.7639221686,7026.7404975674
10,1,05204,U,71039A,23,333,.51778981,-,.00000040, ,00000,+0, ,00000,+0,0, 999,4,2,05204,2.1842,283.6713,0.0022189,351.0585,264.0265,0.98159932,19709.0,6,88019.620877488,42767.3629337193,42767.2203633365
11,1,05398,U,71067E,23,334,.81943708, ,.00001975, ,00000,+0, ,66853,-3,0, 999,3,2,05398,87.6254,236.1745,0.0064314,71.5724,289.2451,14.35238369,74067.0,0,6019.905951943,7152.413496643,7152.3896531731
12,1,07530,U,74089B,23,333,.85164090,-,.00000033, ,00000,+0, ,81720,-4,0, 999,8,2,07530,101.9648,321.7463,0.0012387,106.2974,317.3005,12.53669718,24417.0,7,6891.7673259138,7827.3222537671,7827.296160404
13,1,07646,U,75010A,23,333,.82166453,-,.00000121, ,00000,+0, ,15251,-4,0, 999,7,2,07646,49.8227,176.8534,0.0205764,229.6082,128.6693,13.82322827,46582.0,2,6250.34892808,7333.798695221,7333.7742470807
14,1,08820,U,76039A,23,334,.45831073,-,.00000004, ,00000,+0, ,00000,+0,0, 999,2,2,08820,109.8205,220.8564,0.0044667,141.8876,8.0595,6.38664866,85417.0,9,13528.2218577529,12271.1883192014,12271.1474116519
15,1,13086,U,82019A,23,334,.71079529,-,.00000209, ,00000,+0, ,00000,+0,0, 999,3,2,13086,11.1844,316.2812,0.0004587,259.5531,268.9784,0.98191629,1652.0,9,87991.2074785927,42758.1586864732,42758.0161467739
16,1,14129,U,83058B,23,331,.40159431, ,.00000129, ,00000,+0, ,00000,+0,0, 999,0,2,14129,27.4606,11.0956,0.6035862,223.892,67.9901,2.05868141,27628.0,4,41968.6113549741,26102.125665098,26102.0386503794
17,1,14781,U,84021B,23,333,.92343992, ,.00003546, ,00000,+0, ,41471,-3,0, 999,8,2,14781,97.68,304.7023,0.0008844,27.3785,332.7895,14.8567611,13974.0,8,5815.5340466503,6989.6035751116,6989.5802743891
18,1,16908,U,86061A,23,334,.03712344,-,.00000119, ,00000,+0,-,15436,-3,0, 999,8,2,16908,50.007,127.5539,0.0011156,333.6128,188.1413,12.4450312,36491.0,1,6942.529802577,7865.7108665689,7865.6846452325
19,1,19548,U,88091B,23,333,.95292279,-,.00000297, ,00000,+0, ,00000,+0,0, 999,9,2,19548,13.3183,347.339,0.0039544,331.8128,43.65,1.00276831,11604.0,6,86161.4783179576,42163.3300734719,42163.1895167086
20,1,19751,U,89001C,23,334,.40599906, ,.00000011, ,00000,+0, ,00000,+0,0, 999,8,2,19751,64.4722,104.1128,0.0023983,215.0335,152.9433,2.13156202,27162.0,8,40533.6552205973,25503.7077123966,25503.6226925796
21,1,20026,U,89039C,23,334,.35721360,-,.00000064, ,00000,+0, ,00000,+0,0, 999,0,2,20026,65.4167,342.3668,0.001919,218.0726,111.2064,2.13204424,26867.0,5,40524.4874280845,25499.8619943288,25499.7769873319
22,1,20253,U,89077A,23,333,.83033885,-,.00000366, ,00000,+0, ,00000,+0,0, 999,9,2,20253,12.6978,356.7926,0.0004406,256.8471,239.283,1.00263006,25127.0,4,86173.3588957028,42167.2058442499,42167.0652745662
23,1,20442,U,90005G,23,334,.52335816, ,.00000570, ,00000,+0, ,22347,-3,0, 999,6,2,20442,98.8646,314.7722,0.0012622,54.115,306.1203,14.33380217,76923.0,4,6027.7098131598,7158.5934813074,7158.5696172358
24,1,20580,U,90037B,23,334,.05431826, ,.00008754, ,00000,+0, ,44591,-3,0, 999,7,2,20580,28.4682,243.035,0.0002681,18.2914,108.292,15.1504029,64688.0,7,5702.8186359321,6898.9953123342,6898.9723136657
25,1,20776,U,90079A,23,334,.18429962, ,.00000127, ,00000,+0, ,00000,+0,0, 999,1,2,20776,13.6414,356.1926,0.0003327,252.4028,280.0606,1.00267345,12161.0,4,86169.6298032026,42165.9893310319,42165.8487654036
